fill	x	y	clickSelects	group	xmin	xmax	ymin	ymax
#FDFDFD	13	6	13 6	44	12.5	13.5	5.5	6.5
#FCFCFC	14	6	14 6	55	13.5	14.5	5.5	6.5
#FEFEFE	12	5	12 5	32	11.5	12.5	4.5	5.5
#EEEEEE	10	1	10 1	5	9.5	10.5	0.5	1.5
#F6F6F6	11	2	11 2	18	10.5	11.5	1.5	2.5
#FCFCFC	13	4	13 4	42	12.5	13.5	3.5	4.5
#FCFCFC	14	5	14 5	54	13.5	14.5	4.5	5.5
#5D5D5D	9	0	9 0	825	8.5	9.5	-0.5	0.5
#FEFEFE	15	6	15 6	66	14.5	15.5	5.5	6.5
#FBFBFB	19	10	19 10	105	18.5	19.5	9.5	10.5
#FAFAFA	12	3	12 3	30	11.5	12.5	2.5	3.5
#8A8A8A	10	0	10 0	4	9.5	10.5	-0.5	0.5
#EBEBEB	11	1	11 1	16	10.5	11.5	0.5	1.5
#FBFBFB	12	2	12 2	29	11.5	12.5	1.5	2.5
